Product Name,Launch Year,Status,What it does?,Companies,Team Size,Budget Usage (%),Issues Reported,Risk Level,Outcome,Budget ($K),Sprint Velocity,Burn-down Score,Adoption,Retention,Churn,Bug Severity Score,Deployment Frequency,OPEX/CAPEX,Forecast Accuracy,Encoded labels,Synthetic correlations
Amazon.com,1994,Active,E-commerce platform,Amazon,9,57,1,Low,Critical,4765,90,95,68.4,98,2,1.5,4,4.765,57,0,9
Amazon Prime,2005,Active,Subscription service offering various benefits,Amazon,17,102,3,Low,On Track,3709,170,85,122.4,94,6,4.5,8,3.709,98,2,51
Amazon Web Services (AWS),2006,Active,Cloud computing platform,Amazon,13,109,8,High,Critical,3653,130,60,130.8,84,16,12,6,3.653,91,0,104
Kindle,2007,Active,E-reader for electronic books,Amazon,10,54,5,Medium,Delayed,1553,100,75,64.8,90,10,7.5,5,1.553,54,1,50
Amazon Echo,2014,Active,Smart speaker with virtual assistant (Alexa),Amazon,9,117,0,Low,On Track,4933,90,100,140.4,100,0,0,4,4.933,83,2,0
Amazon Fire TV,2014,Active,Streaming media player and smart TV platform,Amazon,13,55,7,Medium,Delayed,3456,130,65,66,86,14,10.5,6,3.456,55,1,91
Amazon Fire Tablet,2011,Active,Tablet computer,Amazon,13,96,14,High,Delayed,615,130,30,115.2,72,28,21,6,0.615,96,1,182
Audible,1995,Active,Audiobook and spoken-word entertainment,Amazon,6,104,11,Medium,Critical,138,60,45,124.8,78,22,16.5,3,0.138,96,0,66
Amazon Fresh,2007,Active,Grocery delivery and pickup service,Amazon,10,89,13,Medium,Delayed,3442,100,35,106.8,74,26,19.5,5,3.442,89,1,130
Amazon Pantry,2014,Active (Limited),Grocery and household items delivery,Amazon,5,101,6,High,Critical,986,50,70,121.2,88,12,9,2,0.986,99,0,30
Amazon Music,2007,Active,Music streaming service,Amazon,4,65,9,Low,On Track,,40,55,78,82,18,13.5,2,2.944,65,2,36
Amazon Prime Video,2006,Active,Video streaming service,Amazon,14,62,2,Low,Critical,2304,140,90,74.4,96,4,3,7,2.304,62,0,28
Amazon Studios,2010,Active,Film and television production,Amazon,8,79,0,Medium,On Track,1198,80,100,94.8,100,0,0,4,1.198,79,2,0
Whole Foods Market,1980,Active,Supermarket chain acquired by Amazon,Amazon,4,68,4,High,Critical,1923,40,80,81.6,92,8,6,2,1.923,68,0,16
Zappos,1999,Active,Online shoe and clothing retailer,Amazon,3,66,12,Low,Delayed,3301,30,40,79.2,76,24,18,1,3.301,66,1,36
Twitch,2011,Active,Live streaming platform for gamers,Amazon,14,112,3,Medium,Critical,3255,140,85,134.4,94,6,4.5,7,3.255,88,0,42
Ring,2013,Active,Smart home security products,Amazon,14,68,9,Medium,Critical,3193,140,55,81.6,82,18,13.5,7,3.193,68,0,126
PillPack,2013,Active,Online pharmacy,Amazon,19,107,7,Low,On Track,3630,190,65,128.4,86,14,10.5,9,3.63,93,2,133
Goodreads,2007,Active,Social cataloging website for books,Amazon,12,104,0,Medium,Delayed,3878,120,100,124.8,100,0,0,6,3.878,96,1,0
IMDb,1990,Active,"Online database of information related to films, television programs, and video games",Amazon,18,111,9,High,Critical,2996,180,55,133.2,82,18,13.5,9,2.996,89,0,162
Amazon Go,2018,Active,Cashier-less convenience stores,Amazon,17,72,0,Medium,Delayed,3553,170,100,86.4,100,0,0,8,3.553,72,1,0
Amazon Air,2016,Active,Cargo airline for package delivery,Amazon,17,58,11,Medium,Critical,3611,170,45,69.6,78,22,16.5,8,3.611,58,0,187
Amazon Robotics,2003,Active,Automation technology for fulfillment centers,Amazon,14,61,3,Low,Critical,1088,140,85,73.2,94,6,4.5,7,1.088,61,0,42
Amazon Fashion,2002,Active,Fashion retail platform,Amazon,5,50,7,Medium,Delayed,4216,50,65,60,86,14,10.5,2,4.216,50,1,35
Amazon Pharmacy,2020,Active,Online prescription medication ordering and delivery,Amazon,7,107,4,Low,Critical,4126,70,80,128.4,92,8,6,3,4.126,93,0,28
Amazon Sidewalk,2019,Active,Neighborhood network for smart devices,Amazon,9,50,1,Low,Delayed,4279,90,95,60,98,2,1.5,4,4.279,50,1,9
Amazon Luna,2020,Active,Cloud gaming service,Amazon,11,83,5,Medium,Critical,1782,110,75,99.6,90,10,7.5,5,1.782,83,0,55
Amazon Pharmacy,2020,Active,Online prescription medication ordering and delivery,Amazon,9,97,4,Low,On Track,4765,90,80,116.4,92,8,6,4,4.765,97,2,36
Amazon Business,2015,Active,B2B e-commerce platform,Amazon,6,50,1,Low,Delayed,4063,60,95,60,98,2,1.5,3,4.063,50,1,6
Amazon Dash,2014,Discontinued,Branded buttons for quick reordering of products,Amazon,16,65,12,Medium,Critical,1033,160,40,78,76,24,18,8,1.033,65,0,192
Amazon Dash Wand,2017,Discontinued,Handheld barcode scanner and voice assistant,Amazon,11,110,13,Low,Critical,3698,110,35,132,74,26,19.5,5,3.698,90,0,143
Amazon Game Studios,2012,Active,Video game development and publishing,Amazon,4,113,10,Low,On Track,3333,40,50,135.6,80,20,15,2,3.333,87,2,40
Amazon Key,2017,Active,In-home and in-car package delivery,Amazon,17,112,10,Medium,Delayed,2080,170,50,134.4,80,20,15,8,2.08,88,1,170
Amazon Music Unlimited,2016,Active,Premium music streaming service,Amazon,9,118,10,Medium,Critical,1955,90,50,141.6,80,20,15,4,1.955,82,0,90
Amazon Halo,2020,Active,Health and wellness tracking,Amazon,14,71,2,Low,On Track,3156,140,90,85.2,96,4,3,7,3.156,71,2,28
Amazon Pharmacy (acquired PillPack),2018,Active,Online pharmacy and prescription delivery,Amazon,10,116,14,High,Critical,892,100,30,139.2,72,28,21,5,0.892,84,0,140
Yandex Search,1997,Active,Search engine,Yandex,17,75,8,Low,Delayed,891,170,60,90,84,16,12,8,0.891,75,1,136
Yandex.Mail,2001,Active,Email service,Yandex,5,65,6,Medium,Critical,1909,50,70,78,88,12,9,2,1.909,65,0,30
Yandex.Maps,2004,Active,Mapping and navigation,Yandex,16,100,6,Medium,Critical,2355,160,70,120,88,12,9,8,2.355,100,0,96
Yandex.Translate,2010,Active,Language translation service,Yandex,19,106,14,High,Critical,3710,190,30,127.2,72,28,21,9,3.71,94,0,266
Yandex.Disk,2012,Active,Cloud storage service,Yandex,6,78,10,Medium,Critical,1707,60,50,93.6,80,20,15,3,1.707,78,0,60
Yandex.Taxi,2011,Active,Ride-hailing and food delivery service,Yandex,10,118,5,Medium,On Track,1084,100,75,141.6,90,10,7.5,5,1.084,82,2,50
Yandex.Navigator,2012,Active,Navigation app,Yandex,6,96,7,Medium,On Track,3776,60,65,115.2,86,14,10.5,3,3.776,96,2,42
Yandex.Music,2010,Active,Music streaming service,Yandex,4,111,3,Low,Delayed,3480,40,85,133.2,94,6,4.5,2,3.48,89,1,12
Yandex.Images,2000,Active,Image search engine,Yandex,8,118,7,Low,On Track,619,80,65,141.6,86,14,10.5,4,0.619,82,2,56
Yandex.Video,2008,Active,Video hosting and streaming service,Yandex,12,65,3,Medium,On Track,690,120,85,78,94,6,4.5,6,0.69,65,2,36
Yandex.News,2000,Active,News aggregator,Yandex,6,97,7,Low,Delayed,1150,60,65,116.4,86,14,10.5,3,1.15,97,1,42
Yandex.Translate,2010,Active,Language translation service,Yandex,14,88,8,Medium,On Track,3733,140,60,105.6,84,16,12,7,3.733,88,2,112
Yandex.Drive,2011,Active,Cloud storage and file synchronization,Yandex,4,82,2,Low,On Track,4544,40,90,98.4,96,4,3,2,4.544,82,2,8
Yandex.Toloka,2015,Active,Crowdsourcing platform for tasks,Yandex,12,72,2,Medium,Delayed,1059,120,90,86.4,96,4,3,6,1.059,72,1,24
Yandex.Direct,2001,Active,Online advertising platform,Yandex,6,59,10,Low,Delayed,792,60,50,70.8,80,20,15,3,0.792,59,1,60
Yandex.Market,2000,Active,Online marketplace and price comparison platform,Yandex,16,118,12,Low,Delayed,3999,160,40,141.6,76,24,18,8,3.999,82,1,192
Yandex.Metro,2007,Active,Moscow Metro navigation app,Yandex,18,83,1,Medium,Critical,4573,180,95,99.6,98,2,1.5,9,4.573,83,0,18
Yandex.Weather,2010,Active,Weather information service,Yandex,17,101,12,Medium,Critical,3046,170,40,121.2,76,24,18,8,3.046,99,0,204
Yandex.Calendar,2011,Active,Online calendar service,Yandex,10,59,9,Medium,Delayed,626,100,55,70.8,82,18,13.5,5,0.626,59,1,90
Yandex.Translate,2010,Active,Language translation service,Yandex,16,68,2,Low,Delayed,3324,160,90,81.6,96,4,3,8,3.324,68,1,32
Yandex.Navigator,2012,Active,Navigation app,Yandex,10,107,2,Low,Delayed,2353,100,90,128.4,96,4,3,5,2.353,93,1,20
Yandex.Turbo,2009,Active,Web page acceleration service,Yandex,18,50,4,Medium,Critical,3444,180,80,60,92,8,6,9,3.444,50,0,72
Yandex.DNS,2011,Active,Domain Name System (DNS) service,Yandex,15,118,4,Low,Critical,4065,150,80,141.6,92,8,6,7,4.065,82,0,60
Yandex.Money,2002,Active,Online payment and electronic money service,Yandex,17,53,1,Medium,On Track,1975,170,95,63.6,98,2,1.5,8,1.975,53,2,17
Yandex.Tank,2010,Active,Load testing tool for web applications,Yandex,15,65,11,Medium,On Track,1863,150,45,78,78,22,16.5,7,1.863,65,2,165
Yandex.Lavka,2020,Active,Online grocery delivery service,Yandex,11,73,9,Medium,Delayed,620,110,55,87.6,82,18,13.5,5,0.62,73,1,99
Yandex.Telemost,2020,Active,Video conferencing platform,Yandex,17,51,12,Medium,Critical,1116,170,40,61.2,76,24,18,8,1.116,51,0,204
Yandex.Disk (for Business),2012,Active,Cloud storage and collaboration for businesses,Yandex,15,81,5,High,Critical,216,150,75,97.2,90,10,7.5,7,0.216,81,0,75
Yandex.Cloud,2018,Active,Cloud computing platform,Yandex,3,73,4,High,Critical,2533,30,80,87.6,92,8,6,1,2.533,73,0,12
